model,resolution,label,ate,rpe_trans,pos_error,yaw_error
CDiT-B,128,CDiT-B 128,0.14910310091728624,-1.9226487317812864,-3.0707926365434455,-13.509900515270031
CDiT-B,224,CDiT-B 224,8.540401945214787,-0.3745092255966545,4.482794661114219,-25.513541131606665
CDiT-S,128,CDiT-S 128,4.740682688735049,0.01810467581365406,1.3905245988835913,-18.32707517897806
CDiT-S,224,CDiT-S 224,6.759942654012773,3.899677620805609,6.893285753755213,14.812140614091419
