model,resolution,condition,ate,rpe_trans,pos_error,yaw_error,time_s,variant
CDiT-B,128,No-Text,1.258628581888723,0.3653447168084349,1.8805503845214844,0.2889396095275879,4313.172393083572,CDiT-B 128 No-Text
CDiT-B,128,Text,1.2605052361333504,0.3583204212440876,1.8228025817871092,0.2499041557312011,4293.32005739212,CDiT-B 128 Text
CDiT-B,224,No-Text,1.1615142115728725,0.3554650330612275,1.718338165283203,0.3152193641662598,11418.21308708191,CDiT-B 224 No-Text
CDiT-B,224,Text,1.2607121938919883,0.354133783718643,1.7953677368164065,0.2347957420349121,7293.935916423798,CDiT-B 224 Text
CDiT-S,128,No-Text,1.280129258768862,0.3784521855354575,1.9891819763183596,0.3747653579711914,2670.2502286434174,CDiT-S 128 No-Text
CDiT-S,128,Text,1.3408161249327497,0.3785207030767584,2.016842041015625,0.3060818290710449,2697.7034952640533,CDiT-S 128 Text
CDiT-S,224,No-Text,1.1689531676476117,0.3573890273144708,1.75846435546875,0.3274038696289063,3614.000351905823,CDiT-S 224 No-Text
CDiT-S,224,Text,1.247973731432856,0.3713260472318681,1.8796803283691408,0.3758993911743164,9209.427262544632,CDiT-S 224 Text
