id,loss,pred_final_norm,gt_final_norm,pred_path_len,gt_path_len,final_pos_error,mean_step_norm,max_step_norm,smoothness,mean_abs_turn,normalized_smoothness_cost
0,0.28515625,6.814558982849121,7.1173319816589355,6.8688554763793945,7.129596710205078,1.3621318340301514,0.8586069345474243,0.8967731595039368,0.138371542096138,0.15620744228363037,0.0009052715031430125
1,0.482421875,7.2336201667785645,6.589047431945801,7.295950412750244,6.818002223968506,2.362900972366333,0.9119938015937805,0.978530764579773,0.1463816612958908,0.13763095438480377,0.0007408458623103797
2,0.19140625,7.192594528198242,8.071135520935059,7.279506206512451,8.497209548950195,1.6999809741973877,0.9099382758140564,0.9570448994636536,0.15576232969760895,0.14587834477424622,0.000889429880771786
3,0.298828125,7.087935447692871,7.3376688957214355,7.126214981079102,7.355747699737549,1.4401787519454956,0.8907768726348877,0.9547237157821655,0.15106810629367828,0.15993905067443848,0.0010401835897937417
4,0.49609375,7.082151889801025,6.757841110229492,7.115749359130859,7.2774176597595215,4.566873550415039,0.8894686698913574,0.9464818239212036,0.11734024435281754,0.11209992319345474,0.000566432427149266
5,0.201171875,7.1185503005981445,7.431360244750977,7.25499153137207,7.540310382843018,1.713423490524292,0.9068739414215088,1.0302951335906982,0.16902248561382294,0.1628998965024948,0.001232361770235002
6,0.296875,7.0546088218688965,7.206424236297607,7.131170272827148,7.745649337768555,3.9618067741394043,0.8913962841033936,0.9597781896591187,0.14403866231441498,0.1513778418302536,0.0008849622681736946
7,0.3359375,6.973049163818359,6.914673328399658,7.047963619232178,7.029484748840332,3.5681354999542236,0.8809954524040222,0.9104036092758179,0.1186215877532959,0.12491033971309662,0.0005097987595945597
8,0.375,7.050827980041504,6.416590690612793,7.138802528381348,6.76663875579834,2.0249874591827393,0.8923503160476685,0.96175616979599,0.12546378374099731,0.1167108416557312,0.0008266192744486034
9,0.640625,7.000533103942871,8.460736274719238,7.060117244720459,8.850595474243164,4.1382527351379395,0.8825146555900574,0.9184821248054504,0.11003349721431732,0.10353314131498337,0.0005795995821245015
