id,loss,pred_final_norm,gt_final_norm,pred_path_len,gt_path_len,final_pos_error,mean_step_norm,max_step_norm,smoothness,mean_abs_turn,clip_frac
0,0.20703125,7.094095230102539,7.1173319816589355,7.094094276428223,7.129596710205078,0.8407205939292908,0.8867617845535278,0.8867619037628174,0.0,0.0,0.0
1,0.5390625,7.067439556121826,6.589047431945801,7.067439079284668,6.818002223968506,3.9985129833221436,0.8834298849105835,0.8834301829338074,1.7029898913278885e-07,3.618853483544626e-08,0.0
2,0.275390625,7.790860176086426,8.071135520935059,7.790859699249268,8.497209548950195,1.798340916633606,0.9738574624061584,0.9738575220108032,0.0,0.0,0.0
3,0.232421875,7.786155700683594,7.3376688957214355,7.786155700683594,7.355747699737549,1.0541746616363525,0.9732694625854492,0.9732696413993835,1.7029898913278885e-07,1.5965529343020535e-08,0.0
4,0.4375,7.206940650939941,6.757841110229492,7.2069411277771,7.2774176597595215,3.0706024169921875,0.9008676409721375,0.9008678197860718,1.7029898913278885e-07,6.386211737208214e-08,0.0
5,0.333984375,7.458712100982666,7.431360244750977,7.458712100982666,7.540310382843018,0.6624792218208313,0.9323390126228333,0.9323392510414124,1.7029898913278885e-07,5.534716862598543e-08,0.0
6,0.287109375,7.1941633224487305,7.206424236297607,7.194163799285889,7.745649337768555,1.6499124765396118,0.8992704749107361,0.8992704153060913,0.0,0.0,0.0
7,0.353515625,7.521206378936768,6.914673328399658,7.521206855773926,7.029484748840332,5.768557071685791,0.9401508569717407,0.9401509761810303,1.7029898913278885e-07,6.811959707420101e-08,0.0
8,0.455078125,7.842382907867432,6.416590690612793,7.842382907867432,6.76663875579834,1.631003975868225,0.980297863483429,0.9802981019020081,1.7029898913278885e-07,8.089201486427555e-08,0.0
9,0.5859375,7.073995113372803,8.460736274719238,7.0739946365356445,8.850595474243164,3.9991395473480225,0.8842493295669556,0.8842493891716003,0.0,0.0,0.0
