id,loss,pred_final_norm,gt_final_norm,pred_path_len,gt_path_len,final_pos_error,mean_step_norm,max_step_norm,smoothness,mean_abs_turn,clip_frac
0,0.271484375,6.978964805603027,7.1173319816589355,7.172680854797363,7.129596710205078,0.6889765858650208,0.8965851068496704,1.0100810527801514,0.2918523848056793,0.30755284428596497,0.0
1,0.44140625,7.076224327087402,6.589047431945801,7.160671710968018,6.818002223968506,3.355470657348633,0.8950839638710022,0.9240709543228149,0.11162827908992767,0.11448068171739578,0.0
2,0.171875,6.9781646728515625,8.071135520935059,7.172081470489502,8.497209548950195,2.5360960960388184,0.8965101838111877,0.9928271174430847,0.2643117606639862,0.29450657963752747,0.0
3,0.248046875,7.059281826019287,7.3376688957214355,7.204311847686768,7.355747699737549,1.4579678773880005,0.900538980960846,0.978690505027771,0.2660439908504486,0.28925108909606934,0.0
4,0.5625,6.877979755401611,6.757841110229492,6.964178562164307,7.2774176597595215,5.220276832580566,0.8705223202705383,0.911342978477478,0.12637832760810852,0.13102060556411743,0.0
5,0.25,7.003220081329346,7.431360244750977,7.186344146728516,7.540310382843018,2.538062572479248,0.8982930183410645,0.9981709122657776,0.2642510235309601,0.2851702570915222,0.0
6,0.302734375,6.988110065460205,7.206424236297607,7.079424858093262,7.745649337768555,4.042970180511475,0.8849281072616577,0.9497026801109314,0.27031511068344116,0.28081458806991577,0.0
7,0.36328125,7.019702911376953,6.914673328399658,7.143237590789795,7.029484748840332,2.4892449378967285,0.8929046988487244,0.9713924527168274,0.16458162665367126,0.16933481395244598,0.0
8,0.431640625,6.96211051940918,6.416590690612793,7.105365753173828,6.76663875579834,1.6274124383926392,0.8881707191467285,0.9699480533599854,0.23480193316936493,0.2588001787662506,0.0
9,0.515625,7.031654357910156,8.460736274719238,7.206495761871338,8.850595474243164,4.798357009887695,0.9008119702339172,0.986033022403717,0.2634597718715668,0.28026658296585083,0.0
