eval_type,metric,horizon,series,value
rollout_1fps,fid,2s,224 Text,65.76266479492188
rollout_1fps,fid,2s,128 No Text,62.0150146484375
rollout_1fps,fid,2s,128 Text,60.231719970703125
rollout_1fps,fid,4s,224 No Text,70.72064208984375
rollout_1fps,fid,4s,224 Text,63.41212463378906
rollout_1fps,fid,4s,128 No Text,62.445648193359375
rollout_1fps,fid,4s,128 Text,60.753082275390625
rollout_1fps,fid,8s,224 No Text,102.75233459472656
rollout_1fps,fid,8s,224 Text,74.66439819335938
rollout_1fps,fid,8s,128 No Text,65.972900390625
rollout_1fps,fid,8s,128 Text,64.33650207519531
rollout_1fps,fid,16s,224 No Text,141.48873901367188
rollout_1fps,fid,16s,224 Text,84.85649108886719
rollout_1fps,fid,16s,128 No Text,73.85600280761719
rollout_1fps,fid,16s,128 Text,75.80625915527344
rollout_4fps,lpips,1s,224 No Text,0.34009799361228943
rollout_4fps,lpips,1s,224 Text,0.3326908051967621
rollout_4fps,lpips,1s,128 No Text,0.2762524485588074
rollout_4fps,lpips,1s,128 Text,0.26545339822769165
rollout_4fps,lpips,2s,224 No Text,0.3825368583202362
rollout_4fps,lpips,2s,224 Text,0.36673933267593384
rollout_4fps,lpips,2s,128 No Text,0.3223613202571869
rollout_4fps,lpips,2s,128 Text,0.2971075177192688
rollout_4fps,lpips,4s,224 No Text,0.44468948245048523
rollout_4fps,lpips,4s,224 Text,0.4197324216365814
rollout_4fps,lpips,4s,128 No Text,0.3671961724758148
rollout_4fps,lpips,4s,128 Text,0.34529122710227966
rollout_4fps,lpips,8s,224 No Text,0.511471152305603
rollout_4fps,lpips,8s,224 Text,0.48674914240837097
rollout_4fps,lpips,8s,128 No Text,0.43063884973526
rollout_4fps,lpips,8s,128 Text,0.4140462279319763
rollout_4fps,lpips,16s,224 No Text,0.5714607834815979
rollout_4fps,lpips,16s,224 Text,0.5471949577331543
rollout_4fps,lpips,16s,128 No Text,0.47851619124412537
rollout_4fps,lpips,16s,128 Text,0.47173815965652466
rollout_4fps,dreamsim,1s,224 No Text,0.1458229422569275
rollout_4fps,dreamsim,1s,224 Text,0.14264686405658722
rollout_4fps,dreamsim,1s,128 No Text,0.18819689750671387
rollout_4fps,dreamsim,1s,128 Text,0.1766587495803833
rollout_4fps,dreamsim,2s,224 No Text,0.17066922783851624
rollout_4fps,dreamsim,2s,224 Text,0.16066968441009521
rollout_4fps,dreamsim,2s,128 No Text,0.20501387119293213
rollout_4fps,dreamsim,2s,128 Text,0.19334428012371063
rollout_4fps,dreamsim,4s,224 No Text,0.21276962757110596
rollout_4fps,dreamsim,4s,224 Text,0.19472336769104004
rollout_4fps,dreamsim,4s,128 No Text,0.23051247000694275
rollout_4fps,dreamsim,4s,128 Text,0.2124323695898056
rollout_4fps,dreamsim,8s,224 No Text,0.2880101203918457
rollout_4fps,dreamsim,8s,224 Text,0.26554498076438904
rollout_4fps,dreamsim,8s,128 No Text,0.2833166718482971
rollout_4fps,dreamsim,8s,128 Text,0.26844245195388794
rollout_4fps,dreamsim,16s,224 No Text,0.3618578314781189
rollout_4fps,dreamsim,16s,224 Text,0.3303108811378479
rollout_4fps,dreamsim,16s,128 No Text,0.3352549970149994
rollout_4fps,dreamsim,16s,128 Text,0.330593079328537
rollout_4fps,fid,1s,224 No Text,63.39776611328125
rollout_4fps,fid,1s,224 Text,62.676483154296875
rollout_4fps,fid,1s,128 No Text,61.50178527832031
rollout_4fps,fid,1s,128 Text,59.23713684082031
rollout_4fps,fid,2s,224 No Text,65.96034240722656
rollout_4fps,fid,2s,224 Text,63.44952392578125
rollout_4fps,fid,2s,128 No Text,63.069549560546875
rollout_4fps,fid,2s,128 Text,61.01612854003906
rollout_4fps,fid,4s,224 No Text,72.97512817382812
rollout_4fps,fid,4s,224 Text,67.69422912597656
rollout_4fps,fid,4s,128 No Text,64.28822326660156
rollout_4fps,fid,4s,128 Text,62.6378173828125
rollout_4fps,fid,8s,224 No Text,88.53762817382812
rollout_4fps,fid,8s,224 Text,76.93057250976562
rollout_4fps,fid,8s,128 No Text,69.19497680664062
rollout_4fps,fid,8s,128 Text,69.22665405273438
rollout_4fps,fid,16s,224 No Text,92.41156005859375
rollout_4fps,fid,16s,224 Text,79.94723510742188
rollout_4fps,fid,16s,128 No Text,72.48797607421875
rollout_4fps,fid,16s,128 Text,72.90086364746094
