model,runs,inference_ms_mean,inference_ms_std,vram_before_mb_mean,vram_before_mb_std,vram_after_mb_mean,vram_after_mb_std,vram_peak_alloc_mb_mean,vram_peak_alloc_mb_std,vram_reserved_mb_mean,vram_reserved_mb_std,delta_alloc_mb_mean,delta_alloc_mb_std,peak_usage_ratio_pct_mean,peak_usage_ratio_pct_std
cdit_s,7,1757.5285714285712,1082.320146344728,520.9714285714284,3.2269907635063078,522.5714285714286,0.2813959371941947,915.4,3.2004463974353743,1016.0,0.0,1.6000000000000008,3.1843366656181313,2.8000000000000003,4.440892098500626e-16
cdit_b,7,3656.6428571428573,5602.124595150651,1074.4142857142856,3.2050979799726456,1076.0,0.3207134902948606,1468.8571428571431,3.21996323974456,1634.0,0.0,1.6000000000000008,3.1843366656181313,4.585714285714286,0.03499271061118813
cdit_l,7,7079.828571428572,9406.298617372493,2949.2,3.200446397435335,2950.7999999999997,0.3207134902949214,3343.6571428571433,3.219963239744434,3444.0,0.0,1.6000000000000008,3.1843366656181313,10.4,0.0
cdit_xl,7,5301.142857142857,1779.101802962979,4247.785714285715,3.1206357280111456,4249.3714285714295,0.39538150008845646,4641.342857142857,2.780984996547014,4892.0,0.0,1.6000000000000008,3.1843366656181313,14.400000000000002,1.7763568394002505e-15
