eval_type,metric,horizon,series,value
rollout_4fps,lpips,4s,128 @ 5k,0.6516168117523193
rollout_4fps,lpips,4s,128 @ 10k,0.6092376708984375
rollout_4fps,lpips,8s,224 baseline,0.511471152305603
rollout_4fps,lpips,8s,128 @ 5k,0.6488663554191589
rollout_4fps,lpips,8s,128 @ 10k,0.6080269813537598
rollout_4fps,lpips,16s,224 baseline,0.5714607834815979
rollout_4fps,lpips,16s,128 @ 5k,0.6474769115447998
rollout_4fps,lpips,16s,128 @ 10k,0.6043548583984375
rollout_4fps,dreamsim,1s,224 baseline,0.1458229422569275
rollout_4fps,dreamsim,1s,128 @ 5k,0.6798429489135742
rollout_4fps,dreamsim,1s,128 @ 10k,0.5982694029808044
rollout_4fps,dreamsim,2s,224 baseline,0.17066922783851624
rollout_4fps,dreamsim,2s,128 @ 5k,0.6837918162345886
rollout_4fps,dreamsim,2s,128 @ 10k,0.629684329032898
rollout_4fps,dreamsim,4s,224 baseline,0.21276962757110596
rollout_4fps,dreamsim,4s,128 @ 5k,0.683807373046875
rollout_4fps,dreamsim,4s,128 @ 10k,0.6181927919387817
rollout_4fps,dreamsim,8s,224 baseline,0.2880101203918457
rollout_4fps,dreamsim,8s,128 @ 5k,0.6893215179443359
rollout_4fps,dreamsim,8s,128 @ 10k,0.635193943977356
rollout_4fps,dreamsim,16s,224 baseline,0.3618578314781189
rollout_4fps,dreamsim,16s,128 @ 5k,0.685259997844696
rollout_4fps,dreamsim,16s,128 @ 10k,0.6450048089027405
rollout_4fps,fid,1s,224 baseline,63.39776611328125
rollout_4fps,fid,1s,128 @ 5k,245.03732299804688
rollout_4fps,fid,1s,128 @ 10k,205.1361846923828
rollout_4fps,fid,2s,224 baseline,65.96034240722656
rollout_4fps,fid,2s,128 @ 5k,242.5570526123047
rollout_4fps,fid,2s,128 @ 10k,211.4585418701172
rollout_4fps,fid,4s,224 baseline,72.97512817382812
rollout_4fps,fid,4s,128 @ 5k,240.78970336914062
rollout_4fps,fid,4s,128 @ 10k,209.79757690429688
rollout_4fps,fid,8s,224 baseline,88.53762817382812
rollout_4fps,fid,8s,128 @ 5k,242.82373046875
rollout_4fps,fid,8s,128 @ 10k,215.35894775390625
rollout_4fps,fid,16s,224 baseline,92.41156005859375
rollout_4fps,fid,16s,128 @ 5k,233.28431701660156
rollout_4fps,fid,16s,128 @ 10k,209.54708862304688
