suite,experiment,checkpoint,model_size,resolution,condition,eval_split,action_sampler,num_samples,num_repeat_eval,topk,opt_steps,max_eval_samples,ate,rpe_trans,pos_error,yaw_error,total_time,source_path
scand128_seq_n32_lc20s_w0p1_smoke,nwm_cdit_s_recon_128,0030000,S,128,No Text,smoke,sequence,32,1,5,1,10,0.988875024503117,0.30962506581505217,1.4626555442810059,0.5102122306823731,454.11865234375,artifacts/bulk/planning_scand/scand128_seq_n32_lc20s_w0p1_smoke/nwm_cdit_s_recon_128/scand_CEM_seq_N32_K5_RS1_rep1_OPT1_LC0p1.json
scand128_text_dense_0030000,nwm_cdit_s_recon_128_text_dense,0030000,S,128,Text,full,sequence,32,1,5,1,10,0.9175553353565586,0.29851824673367877,1.3338509559631349,0.5706199169158935,447.8190031051636,artifacts/bulk/planning_scand/scand128_text_dense_0030000/nwm_cdit_s_recon_128_text_dense/scand_CEM_N32_K5_RS1_rep1_OPT1.json
scand224_b_notext_0100000_full_n120_rep3,nwm_cdit_b,0100000,B,224,No Text,full,repeat,120,3,5,1,,1.0045401390986008,0.27747085540783123,1.5188168334960936,0.19768367767333983,52611.05542755127,artifacts/bulk/planning_scand/scand224_b_notext_0100000_full_n120_rep3/nwm_cdit_b/scand_CEM_repeat_N120_K5_RS1_rep3_OPT1.json
scand224_b_notext_0100000_full_n32,nwm_cdit_b,0100000,B,224,No Text,full,repeat,32,1,5,1,,1.1776811638170348,0.30752724350519545,1.8374343872070313,0.3387713623046875,11493.099174976349,artifacts/bulk/planning_scand/scand224_b_notext_0100000_full_n32/nwm_cdit_b/scand_CEM_repeat_N32_K5_RS1_rep1_OPT1.json
scand224_b_notext_0100000_smoke_n120_rep3,nwm_cdit_b,0100000,B,224,No Text,smoke,repeat,120,3,5,1,10,0.9122333190485084,0.24724440982168155,1.2862236022949218,0.46041159629821776,12123.213640928268,artifacts/bulk/planning_scand/scand224_b_notext_0100000_smoke_n120_rep3/nwm_cdit_b/scand_CEM_repeat_N120_K5_RS1_rep3_OPT1.json
scand224_b_text_dense_0030000_full_n120_rep3,nwm_cdit_b_recon_raw_text_dense,0030000,B,224,Text,full,repeat,120,3,5,1,,1.1323309114872346,0.30378977485091974,1.814144287109375,0.2335843849182129,52109.789962768555,artifacts/bulk/planning_scand/scand224_b_text_dense_0030000_full_n120_rep3/nwm_cdit_b_recon_raw_text_dense/scand_CEM_repeat_N120_K5_RS1_rep3_OPT1.json
scand224_b_text_dense_0030000_full_n32,nwm_cdit_b_recon_raw_text_dense,0030000,B,224,Text,full,repeat,32,1,5,1,,1.1146061359451447,0.2969448563634807,1.7521664428710937,0.23867444992065429,11860.839169740677,artifacts/bulk/planning_scand/scand224_b_text_dense_0030000_full_n32/nwm_cdit_b_recon_raw_text_dense/scand_CEM_repeat_N32_K5_RS1_rep1_OPT1.json
scand224_s_notext_0100000_full_n32,nwm_cdit_s,0100000,S,224,No Text,full,sequence,32,1,5,1,,1.0621763993222901,0.35094814220055004,1.68388427734375,0.42714866638183596,4901.098577976227,artifacts/bulk/planning_scand/scand224_s_notext_0100000_full_n32/nwm_cdit_s/scand_CEM_N32_K5_RS1_rep1_OPT1.json
scand224_s_text_dense_0030000_full_n32,nwm_cdit_s_recon_raw_text_dense,0030000,S,224,Text,full,sequence,32,1,5,1,,1.1396817799984533,0.35522330784536377,1.791989288330078,0.5677387619018555,5084.681036233902,artifacts/bulk/planning_scand/scand224_s_text_dense_0030000_full_n32/nwm_cdit_s_recon_raw_text_dense/scand_CEM_N32_K5_RS1_rep1_OPT1.json
scand64_b_notext_0030000_full_n32,nwm_cdit_b_recon_64,0030000,B,64,No Text,full,repeat,32,1,5,1,,1.2128097371076025,0.3150336966093279,1.9078182983398437,0.34502655029296875,4209.189848423004,artifacts/bulk/planning_scand/scand64_b_notext_0030000_full_n32/nwm_cdit_b_recon_64/scand_CEM_repeat_N32_K5_RS1_rep1_OPT1.json
scand64_b_text_dense_0030000_full_n32,nwm_cdit_b_recon_64_text_dense,0030000,B,64,Text,full,repeat,32,1,5,1,,1.2884239235038377,0.3251897713705582,2.047213592529297,0.38043430328369143,3345.279871702194,artifacts/bulk/planning_scand/scand64_b_text_dense_0030000_full_n32/nwm_cdit_b_recon_64_text_dense/scand_CEM_repeat_N32_K5_RS1_rep1_OPT1.json
scand64_s_notext_0030000_full_n32,nwm_cdit_s_recon_64,0030000,S,64,No Text,full,repeat,32,1,5,1,,1.2937210091407159,0.32806593236364157,2.0630233764648436,0.3663180923461914,2339.5998826026917,artifacts/bulk/planning_scand/scand64_s_notext_0030000_full_n32/nwm_cdit_s_recon_64/scand_CEM_repeat_N32_K5_RS1_rep1_OPT1.json
scand64_s_text_dense_0030000_full_n32,nwm_cdit_s_recon_64_text_dense,0030000,S,64,Text,full,repeat,32,1,5,1,,1.2244876847617319,0.3155409214214806,1.9316081237792968,0.3503852844238281,2359.7702267169952,artifacts/bulk/planning_scand/scand64_s_text_dense_0030000_full_n32/nwm_cdit_s_recon_64_text_dense/scand_CEM_repeat_N32_K5_RS1_rep1_OPT1.json
