suite,run,model_size,resolution,condition,series,checkpoint,checkpoint_step,eval_type,metric,horizon,horizon_s,value,source_path
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,lpips,8s,8,0.61822909116745,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,dreamsim,8s,8,0.6647527813911438,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,lpips,16s,16,0.6231399774551392,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,dreamsim,16s,16,0.6725325584411621,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,fid,1s,1,170.1754608154297,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,fid,2s,2,171.29263305664062,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,fid,4s,4,172.94947814941406,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,fid,8s,8,166.94931030273438,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0010000,B,128,No Text,CDiT-B 128px No Text,0010000,10000,time,fid,16s,16,172.24851989746094,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0010000/scand_time.json
eval_b_scand_128,nwm_cdit_b_recon_128_0015000,B,128,No Text,CDiT-B 128px No Text,0015000,15000,time,lpips,1s,1,0.557783842086792,artifacts/summaries/eval_scand/eval_b_scand_128/nwm_cdit_b_recon_128_0015000/scand_time.json
