series,step,run_name,metric,horizon,value,source_path
128 No Text,15000,nwm_cdit_s_recon_128_0015000,dreamsim,1s,0.26433634757995605,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,dreamsim,2s,0.2724458873271942,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,dreamsim,4s,0.2736421823501587,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,dreamsim,8s,0.2963186800479889,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,dreamsim,16s,0.33869045972824097,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,fid,1s,50.4383544921875,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,fid,2s,48.896881103515625,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,fid,4s,47.59912109375,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,fid,8s,48.137969970703125,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,fid,16s,54.80006408691406,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,lpips,1s,0.35934850573539734,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,lpips,2s,0.37197375297546387,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,lpips,4s,0.39101001620292664,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,lpips,8s,0.41868388652801514,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_s_recon_128_0015000,lpips,16s,0.461074560880661,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0015000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,dreamsim,1s,0.202259361743927,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,dreamsim,2s,0.21486259996891022,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,dreamsim,4s,0.22311881184577942,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,dreamsim,8s,0.24161437153816223,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,dreamsim,16s,0.2898998558521271,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,fid,1s,35.586090087890625,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,fid,2s,36.54402160644531,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,fid,4s,35.39678955078125,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,fid,8s,36.24449157714844,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,fid,16s,41.08500671386719,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,lpips,1s,0.29110419750213623,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_s_recon_128_0020000,lpips,2s,0.3156519830226898,artifacts/summaries/eval/eval_s_recon_128/nwm_cdit_s_recon_128_0020000/recon_time.json
