series,step,run_name,metric,horizon,value,source_path
128 No Text,15000,nwm_cdit_b_recon_128_0015000,dreamsim,1s,0.20563006401062012,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,dreamsim,2s,0.20798103511333466,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,dreamsim,4s,0.21942876279354095,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,dreamsim,8s,0.24665699899196625,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,dreamsim,16s,0.29217028617858887,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,fid,1s,37.290252685546875,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,fid,2s,36.855010986328125,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,fid,4s,37.24745178222656,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,fid,8s,37.475982666015625,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,fid,16s,40.72418212890625,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,lpips,1s,0.32388705015182495,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,lpips,2s,0.33349743485450745,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,lpips,4s,0.35993605852127075,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,lpips,8s,0.3929586112499237,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,15000,nwm_cdit_b_recon_128_0015000,lpips,16s,0.4485395550727844,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0015000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,dreamsim,1s,0.15972250699996948,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,dreamsim,2s,0.16643285751342773,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,dreamsim,4s,0.17923681437969208,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,dreamsim,8s,0.19906288385391235,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,dreamsim,16s,0.2517155706882477,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,fid,1s,31.201980590820312,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,fid,2s,30.763595581054688,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,fid,4s,31.562667846679688,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,fid,8s,30.964874267578125,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,fid,16s,35.80262756347656,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,lpips,1s,0.2545391619205475,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,lpips,2s,0.2685903012752533,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,lpips,4s,0.2984442710876465,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,lpips,8s,0.3434339761734009,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,20000,nwm_cdit_b_recon_128_0020000,lpips,16s,0.4106346070766449,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0020000/recon_time.json
128 No Text,25000,nwm_cdit_b_recon_128_0025000,dreamsim,1s,0.14695346355438232,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_b_recon_128_0025000,dreamsim,2s,0.15656933188438416,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_b_recon_128_0025000,dreamsim,4s,0.16469667851924896,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_b_recon_128_0025000,dreamsim,8s,0.18453633785247803,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_b_recon_128_0025000,dreamsim,16s,0.23358841240406036,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_b_recon_128_0025000,fid,1s,29.72576904296875,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_b_recon_128_0025000,fid,2s,29.732589721679688,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_b_recon_128_0025000,fid,4s,29.773849487304688,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_b_recon_128_0025000,fid,8s,30.553131103515625,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_b_recon_128_0025000,fid,16s,34.242095947265625,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_b_recon_128_0025000,lpips,1s,0.2283782809972763,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_b_recon_128_0025000,lpips,2s,0.24990400671958923,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0025000/recon_time.json
128 No Text,25000,nwm_cdit_b_recon_128_0025000,lpips,4s,0.27762800455093384,artifacts/summaries/eval/eval_b_recon_128/nwm_cdit_b_recon_128_0025000/recon_time.json
